"","Estimate","Std.Error","p","lowerCI","upperCI","typeDisturbance","disturbanceDimension","Species","Significancy"
"54",-0.466328256961894,0.0692721014406156,1.67538234269005e-11,-0.602101575785501,-0.330554938138288,"PERMANENT","LOCAL","OVEN","YES"
"125",-0.462470000713144,0.245051217240643,0.0591283040191347,-0.942770386504804,0.0178303850785161,"BOTH","LOCAL UNDISTURBED","BTNW","YES"
"110",-0.460688938730015,0.0865662263851602,1.02740308626262e-07,-0.630358742444929,-0.291019135015101,"BOTH","NEIGHBORHOOD","BTNW","YES"
"24",-0.457514977376475,0.0539162198721612,2.14488627244861e-17,-0.563190768325911,-0.351839186427039,"TRANSITIONAL","NEIGHBORHOOD","OVEN","YES"
"130",-0.41749981218022,0.257668480107904,0.105168204011257,-0.922530033191712,0.0875304088312728,"BOTH","LOCAL UNDISTURBED","PISI","NO"
"1",-0.412758433633016,0.082079203854219,4.93604842843022e-07,-0.573633673187285,-0.251883194078747,"TRANSITIONAL","LOCAL","BBWA","YES"
"95",-0.411294294667441,0.0662287333294263,5.2914081992027e-10,-0.541102611993117,-0.281485977341766,"BOTH","LOCAL","BTNW","YES"
"132",-0.409885154458108,0.125376839652934,0.00107842339316543,-0.65562376017786,-0.164146548738357,"BOTH","LOCAL UNDISTURBED","SWTH","YES"
"48",-0.398417204223457,0.245412478022294,0.104491227039863,-0.879425661147153,0.0825912527002391,"PERMANENT","LOCAL","BOCH","NO"
"5",-0.397677806856773,0.0695819223029797,1.0954539988387e-08,-0.534058374570613,-0.261297239142933,"TRANSITIONAL","LOCAL","BTNW","YES"
"57",-0.38425494973334,0.0795295923505724,1.35442116642386e-06,-0.540132950740462,-0.228376948726218,"PERMANENT","LOCAL","SWTH","YES"
"64",-0.376739583437698,0.227407716402847,0.097586174195829,-0.822458707587278,0.0689795407118823,"PERMANENT","NEIGHBORHOOD","BRCR","YES"
"76",-0.323786869940055,0.451973046084897,0.473753436839878,-1.20965404026645,0.562080300386343,"PERMANENT","LOCAL UNDISTURBED","BBWA","NO"
"60",-0.315994386416289,0.0841752297510833,0.00017403012622568,-0.480977836728412,-0.151010936104165,"PERMANENT","LOCAL","YRWA","YES"
"8",-0.315712994164619,0.104439990407312,0.00250354290063107,-0.52041537536295,-0.111010612966287,"TRANSITIONAL","LOCAL","CONW","YES"
"7",-0.312487807668522,0.145653363011958,0.0319191884212513,-0.59796839917196,-0.0270072161650834,"TRANSITIONAL","LOCAL","CMWA","YES"
"70",-0.31050273942444,0.166528783897166,0.0622432471450167,-0.636899155862885,0.0158936770140047,"PERMANENT","NEIGHBORHOOD","PISI","YES"
"23",-0.309197613214783,0.170466011672316,0.0697027754951946,-0.643310996092523,0.0249157696629564,"TRANSITIONAL","NEIGHBORHOOD","CONW","YES"
"59",-0.298900170072859,0.231312048353804,0.196289775854603,-0.752271784846314,0.154471444700596,"PERMANENT","LOCAL","WETA","NO"
"107",-0.296135228957877,0.190491322354478,0.120044592446381,-0.669498220772655,0.0772277628569001,"BOTH","NEIGHBORHOOD","BLPW","NO"
"75",-0.264933703994848,0.0724678749600926,0.000256303313471061,-0.406970738916629,-0.122896669073066,"PERMANENT","NEIGHBORHOOD","YRWA","YES"
"133",-0.259209927414791,0.124211700364646,0.036902612671808,-0.502664860129498,-0.0157549947000839,"BOTH","LOCAL UNDISTURBED","TEWA","YES"
"129",-0.258503411792078,0.106566985917635,0.0152773642386761,-0.467374704190643,-0.0496321193935134,"BOTH","LOCAL UNDISTURBED","OVEN","YES"
"98",-0.257968010733175,0.102365856425137,0.0117335122857987,-0.458605089326444,-0.0573309321399059,"BOTH","LOCAL","CONW","YES"
"42",-0.249741055899797,0.160250774497599,0.119129218896556,-0.563832573915091,0.0643504621154977,"TRANSITIONAL","LOCAL UNDISTURBED","SWTH","NO"
"105",-0.233842181680806,0.0293145576871667,1.49934689058439e-15,-0.291298714747653,-0.176385648613959,"BOTH","LOCAL","YRWA","YES"
"117",-0.223719531890329,0.0384976655756928,6.20083428497753e-09,-0.299174956418687,-0.148264107361971,"BOTH","NEIGHBORHOOD","SWTH","YES"
"73",-0.212663745428711,0.0693821825331209,0.00217592847981312,-0.348652823193628,-0.0766746676637944,"PERMANENT","NEIGHBORHOOD","TEWA","YES"
"26",-0.208167744107436,0.0899644567827194,0.0206738255855328,-0.384498079401566,-0.0318374088133065,"TRANSITIONAL","NEIGHBORHOOD","RBNU","YES"
